town,pop
"Altamont, UT",255
"Altamonte Spring, FL",1
"Altavista, VA",3468
"Altha, FL",530
"Altheimer, AR",869
"Altmar, NY",1
"Alto, GA",1164
"Alto, LA",1
"Alto, MI",1
"Alto Pass, IL",378
"Alton, IA",1271
"Alton, IL",26861
"Alton, KS",98
"Alton, NH",1
"Alton, TX",16895
"Alton, UT",119
"Alton, VA",1
"Alton Bay, NH",1
"Altona, IL",506
"Altona, NY",1
"Altonah, UT",1
"Altoona, FL",1
"Altoona, IA",17938
"Altoona, KS",374
"Altoona, PA",44589
"Altoona, WI",7489
"Altro, KY",1
"Altura, MN",489
"Alturas, CA",2537
"Altus, AR",725
"Altus, OK",19163
"Alum Bank, PA",1
"Alum Bridge, WV",1
"Alum Creek, WV",1
"Alum Ridge, VA",1
"Alva, FL",1
"Alva, OK",5120
"Alvada, OH",1
"Alvarado, MN",352
"Alvarado, TX",3993
"Alvaton, GA",1
"Alvaton, KY",1
"Alverton, PA",1
"Alvin, IL",1
"Alvin, SC",1
"Alvin, TX",26164
"Alvin, WI",1
"Alviso, CA",1
"Alvo, NE",132
"Alvord, IA",204
"Alvord, TX",1435
"Alvordton, OH",1
"Alvy, WV",1
"Alzada, MT",1
"Ama, LA",1
"Amado, AZ",2
"Amagon, AR",92
"Amana, IA",1
"Amanda, OH",740
"Amanda Park, WA",1
"Amargosa Valley, NV",1
"Amarillo, TX",199582
"Amawalk, NY",1
"Amazonia, MO",315
"Amber, OK",454
"Amberg, WI",1
"Ambia, IN",235
"Ambler, AK",264
"Amboy, CA",1
"Amboy, IL",2333
"Amboy, IN",379
"Amboy, MN",513
"Amboy, WA",1
"Amboy, WV",1
"Ambrose, GA",382
"Ambrose, ND",26
"Amburgey, KY",1
"Ameagle, WV",1
"Amelia, LA",1
"Amelia, NE",1
"Amelia, OH",4957
"Amelia Court Hou, VA",1
"Amelia Island, FL",1
"Amenia, ND",96
"Amenia, NY",1
"American Canyon, CA",20452
"American Falls, ID",4311
"American Fork, UT",28770
"Americus, KS",885
"Ames, IA",66191
"Ames, KS",1
"Ames, NE",1
"Ames, NY",142
"Ames, OK",247
"Ames, TX",1093
"Amesbury, MA",1
"Amesville, OH",157
"Amf Ohare, IL",1
"Amherst, CO",1
"Amherst, NE",253
"Amherst, NH",1
"Amherst, NY",2
"Amherst, SD",1
"Amherst, TX",680
"Amherst, VA",2205
"Amherst, WI",1046
"Amherst Junction, WI",375
"Amidon, ND",21
"Amigo, WV",1
"Amiret, MN",1
"Amissville, VA",1
"Amistad, NM",1
"Amite, LA",1
"Amity, AR",701
"Amity, MO",53
"Amity, OR",1667
"Amity, PA",1
"Amityville, NY",9494
"Amlin, OH",1
"Amma, WV",1
"Ammon, ID",15252
"Ammon, VA",1
"Amoret, MO",184
"Amorita, OK",39
"Amory, MS",7067
"Ampthill, VA",1
"Amsterdam, MO",234
"Amsterdam, OH",483
"Amston, CT",1
"Anabel, MO",1
"Anacoco, LA",841
"Anaconda, MT",1
"Anacortes, WA",16681
"Anadarko, OK",6761
"Anaheim, CA",351043
"Anaktuvuk Pass, AK",333
"Anamoose, ND",253
"Anamosa, IA",5430
"Anatone, WA",1
"Anchor, IL",144
"Anchorage, AK",298192
"Anchorage, KY",2425
"Anchorville, MI",1
"Anco, KY",1
"Ancona, IL",1
"Ancram, NY",1
"Ancramdale, NY",1
"Andale, KS",993
"Andalusia, AL",8968
"Andalusia, IL",1177
"Anderson, AK",271
"Anderson, AL",276
"Anderson, CA",10232
"Anderson, IN",55130
"Anderson, MO",1979
"Anderson, OH",2
"Anderson, SC",27544
"Anderson, TX",230
"Anderson Island, WA",1
"Andersonville, GA",234
"Andersonville, TN",1
"Andes, NY",1
"Andice, TX",1
"Andover, CT",1
"Andover, IA",99
"Andover, KS",12980
"Andover, MA",1
"Andover, ME",1
"Andover, NH",1
"Andover, NJ",571
"Andover, NY",1000
"Andover, OH",1114
"Andover, SD",87
"Andreas, PA",1
"Andrew, IA",423
